id	filename	md5	size	state
c479cd5b-c5c6-415a-a54d-53d3da997cd6	c2b81637-da0c-46c9-bc9f-d99c6e17922e.wxs.aliquot_ensemble_masked.maf.gz	375260cd169d94ec3962c3cd9499432f	25649	released
4cc587ab-2eb4-4ba0-9aa6-1426f8411339	822da10f-a248-47f9-841e-b4344b01f9a8.wxs.aliquot_ensemble_masked.maf.gz	9488c302187e43b37f278a804be6de60	18273	released
715de110-f321-46c3-b2d3-4b264da632d3	af0579b6-6f99-42b1-bd24-beedc750b7f0.wxs.aliquot_ensemble_masked.maf.gz	98b0bdd7935a9c072c377f319b2db57c	242372	released
584bc13f-7988-4fdf-91a8-fd21409dc445	c6e2838a-8a08-4d50-8dda-0613e29057e7.wxs.aliquot_ensemble_masked.maf.gz	eaaf0e924dbc366e23c2bd63b4c26b00	9080	released
0f463aa5-6351-4c4d-a382-c2f093a34e09	8290d5a9-c674-4804-b2cd-c16ccc810656.wxs.aliquot_ensemble_masked.maf.gz	a4db84baabca1db1c3369d2898ed16a0	1501603	released
ec4a2b8f-fb89-4076-98c8-67ed3e83cfac	3d09f82e-bdc2-49e0-85c4-b0eeef5eb2ae.wxs.aliquot_ensemble_masked.maf.gz	7620fbe295292afc33423cf00af8537e	20244	released
c79d7594-3723-411a-98ab-3fe6f6b747c8	f01fa313-8a80-4475-afd9-8a115fe33421.wxs.aliquot_ensemble_masked.maf.gz	be14f11d21afbec39dcb4cf74292427a	24121	released
1f41c89a-200b-4964-8710-60ae4f57f6ef	51f5268a-1f77-4cd6-b7ff-e0b693614dc8.wxs.aliquot_ensemble_masked.maf.gz	c68d063a4baa7cfa535177d23492245e	29319	released
c8fd3e84-ede0-4559-993d-deb9c538993c	e1ca41ad-a887-40bc-a828-9863314a81c0.wxs.aliquot_ensemble_masked.maf.gz	032c6684a211806c5014a57d74261008	43488	released
2699bba7-121c-473d-92b1-f27c543849db	0f7376b9-14ed-46ad-abe6-3eec9bad0e8a.wxs.aliquot_ensemble_masked.maf.gz	fe42a43385237b5f8d467a37b24b020b	32582	released
f84f8bdf-85e3-44d6-9e94-ef4ae245e6e4	0cf18cbf-f63c-4582-98e4-ce29be2818a9.wxs.aliquot_ensemble_masked.maf.gz	b83240b525ab92ebb35c4c96af5fffa5	53744	released
6c0ccace-ab21-43a6-a526-bf471de842ea	5f10bd6e-133c-4c48-9d60-853c9e9c3363.wxs.aliquot_ensemble_masked.maf.gz	0ed421e4970877b7136cdad02f3456e8	14118	released
ae14cea0-47b8-401f-8143-c1adb6549921	a86e946f-8190-42c1-9137-eae6411c5d61.wxs.aliquot_ensemble_masked.maf.gz	bd0fb97196cd9e0d490a99f2ca76ba23	34899	released
2d1d8316-1cbc-4fda-8516-a6958a67e91e	ee6b9698-deff-4b66-8b6f-7a34fbf4b02d.wxs.aliquot_ensemble_masked.maf.gz	527d724d37e1d24f184ef853f513cef1	20091	released
a0c22b96-b351-43f3-bcf4-8af8d5f1e42d	40c43ddd-23bd-45e7-a5a5-af4bc67bd882.wxs.aliquot_ensemble_masked.maf.gz	ec2388f97bf5da4d8cbc2e104ceb8cf0	20304	released
c32dc7f8-99bc-4d91-9433-52ff66424b0e	0e917c7b-dbf3-4865-b136-a9bdae9152d7.wxs.aliquot_ensemble_masked.maf.gz	595347a145eb21a56b35f02008b52ea3	47870	released
a39b3474-e365-48dc-972c-7422d73d0deb	9abb73ca-6b73-443a-a6b5-b6febd5480e4.wxs.aliquot_ensemble_masked.maf.gz	32ae3a80cf9405aa90daac370ccb3148	14078	released
acfa0152-ea70-45fd-91ee-d155b904027e	d93a52ca-fb95-4b4e-b8ce-7168ec26c4eb.wxs.aliquot_ensemble_masked.maf.gz	ba1d157b1365129f419b4611acc1fa18	15335	released
d6a02832-ac78-41c3-b204-9a252ac6445c	f5e25393-43a2-4641-a2f0-21d5e8e7b20d.wxs.aliquot_ensemble_masked.maf.gz	62b4ec9e53c5baa44e4fbb281121a622	35159	released
981e9187-d815-47a1-999b-4d747b2af90f	f1b5df85-dc18-4a7c-90b7-2a420dfbe18c.wxs.aliquot_ensemble_masked.maf.gz	b1d8d47be1b6ced02bf65ff8463125c7	36376	released
a0d721fe-5411-4bd1-8052-72ba590591e1	0a7a17d5-f136-49f7-b457-2a314d3c991d.wxs.aliquot_ensemble_masked.maf.gz	a964ed8db90f9e5f4cecd933839fd2c6	45414	released
eadd1bea-7651-4761-a7ea-c293919ae0f5	410322eb-2e99-4c45-b547-58e1aed518c3.wxs.aliquot_ensemble_masked.maf.gz	ceb7bd4afaab9907f63007712d99c2f0	50557	released
